index,mutator,length_bytes
0000,mutate_seq_flag_no_seq,8
0001,mutate_length_mismatch,38
0002,mutate_bad_version,38
0003,mutate_jumbo_payload,38
0004,mutate_seq_flag_no_seq,8
0005,mutate_bad_version,38
0006,mutate_bad_version,38
0007,mutate_echo_request_storm,8
0008,mutate_bad_message_type,38
0009,mutate_bad_version,38
0010,mutate_bad_message_type,38
0011,mutate_bit_flip,38
0012,mutate_teid_flap,38
0013,mutate_length_mismatch,38
0014,mutate_bit_flip,38
0015,mutate_bad_message_type,38
0016,mutate_bit_flip,38
0017,mutate_truncated_header,3
0018,mutate_teid_flap,38
0019,mutate_teid_flap,38
0020,mutate_bad_message_type,38
0021,mutate_echo_request_storm,8
0022,mutate_seq_flag_no_seq,8
0023,mutate_truncated_header,4
0024,mutate_bad_message_type,38
0025,mutate_seq_flag_no_seq,8
0026,mutate_seq_flag_no_seq,8
0027,mutate_truncated_header,5
0028,mutate_truncated_header,1
0029,mutate_bad_message_type,38
0030,mutate_bad_message_type,38
0031,mutate_ext_header_no_data,38
0032,mutate_bit_flip,38
0033,mutate_bad_version,38
0034,mutate_ext_header_no_data,38
0035,mutate_teid_flap,38
0036,mutate_length_mismatch,38
0037,mutate_jumbo_payload,38
0038,mutate_length_mismatch,38
0039,mutate_jumbo_payload,38
0040,mutate_echo_request_storm,8
0041,mutate_echo_request_storm,8
0042,mutate_bad_message_type,38
0043,mutate_teid_flap,38
0044,mutate_bit_flip,38
0045,mutate_jumbo_payload,38
0046,mutate_bit_flip,38
0047,mutate_echo_request_storm,8
0048,mutate_bad_message_type,38
0049,mutate_length_mismatch,38
0050,mutate_bit_flip,38
0051,mutate_length_mismatch,38
0052,mutate_seq_flag_no_seq,8
0053,mutate_bad_version,38
0054,mutate_teid_flap,38
0055,mutate_ext_header_no_data,38
0056,mutate_seq_flag_no_seq,8
0057,mutate_seq_flag_no_seq,8
0058,mutate_bad_message_type,38
0059,mutate_truncated_header,4
0060,mutate_truncated_header,3
0061,mutate_length_mismatch,38
0062,mutate_seq_flag_no_seq,8
0063,mutate_ext_header_no_data,38
0064,mutate_length_mismatch,38
0065,mutate_teid_flap,38
0066,mutate_jumbo_payload,38
0067,mutate_bad_version,38
0068,mutate_ext_header_no_data,38
0069,mutate_bad_message_type,38
0070,mutate_ext_header_no_data,38
0071,mutate_seq_flag_no_seq,8
0072,mutate_length_mismatch,38
0073,mutate_teid_flap,38
0074,mutate_echo_request_storm,8
0075,mutate_jumbo_payload,38
0076,mutate_seq_flag_no_seq,8
0077,mutate_bad_version,38
0078,mutate_ext_header_no_data,38
0079,mutate_ext_header_no_data,38
0080,mutate_bit_flip,38
0081,mutate_truncated_header,2
0082,mutate_teid_flap,38
0083,mutate_bad_message_type,38
0084,mutate_echo_request_storm,8
0085,mutate_length_mismatch,38
0086,mutate_seq_flag_no_seq,8
0087,mutate_echo_request_storm,8
0088,mutate_bad_message_type,38
0089,mutate_length_mismatch,38
0090,mutate_length_mismatch,38
0091,mutate_truncated_header,7
0092,mutate_length_mismatch,38
0093,mutate_bit_flip,38
0094,mutate_teid_flap,38
0095,mutate_ext_header_no_data,38
0096,mutate_teid_flap,38
0097,mutate_length_mismatch,38
0098,mutate_seq_flag_no_seq,8
0099,mutate_truncated_header,6
0100,mutate_jumbo_payload,38
0101,mutate_jumbo_payload,38
0102,mutate_jumbo_payload,38
0103,mutate_jumbo_payload,38
0104,mutate_bad_version,38
0105,mutate_length_mismatch,38
0106,mutate_length_mismatch,38
0107,mutate_truncated_header,5
0108,mutate_bad_message_type,38
0109,mutate_seq_flag_no_seq,8
0110,mutate_jumbo_payload,38
0111,mutate_jumbo_payload,38
0112,mutate_bad_message_type,38
0113,mutate_teid_flap,38
0114,mutate_bad_message_type,38
0115,mutate_jumbo_payload,38
0116,mutate_bad_message_type,38
0117,mutate_bit_flip,38
0118,mutate_jumbo_payload,38
0119,mutate_teid_flap,38
0120,mutate_bad_message_type,38
0121,mutate_seq_flag_no_seq,8
0122,mutate_teid_flap,38
0123,mutate_ext_header_no_data,38
0124,mutate_bad_message_type,38
0125,mutate_seq_flag_no_seq,8
0126,mutate_ext_header_no_data,38
0127,mutate_length_mismatch,38
0128,mutate_bad_message_type,38
0129,mutate_truncated_header,2
0130,mutate_teid_flap,38
0131,mutate_teid_flap,38
0132,mutate_seq_flag_no_seq,8
0133,mutate_seq_flag_no_seq,8
0134,mutate_truncated_header,4
0135,mutate_bad_version,38
0136,mutate_jumbo_payload,38
0137,mutate_ext_header_no_data,38
