index,mutator,payload_len,timestamp_utc,outcome,response_len,error
0,mutate_seq_flag_no_seq,8,2026-08-30T06:23:52.905027,sent+no_response,,
1,mutate_length_mismatch,38,2026-08-30T06:23:53.606255,sent+response,28,
2,mutate_bad_version,38,2026-08-30T06:23:53.807054,sent+no_response,,
3,mutate_jumbo_payload,38,2026-08-30T06:23:54.508081,sent+response,28,
4,mutate_seq_flag_no_seq,8,2026-08-30T06:23:54.708490,sent+no_response,,
5,mutate_bad_version,38,2026-08-30T06:23:55.409219,sent+no_response,,
6,mutate_bad_version,38,2026-08-30T06:23:56.110244,sent+no_response,,
7,mutate_echo_request_storm,8,2026-08-30T06:23:56.811455,sent+response,10,
8,mutate_bad_message_type,38,2026-08-30T06:23:57.012226,sent+no_response,,
9,mutate_bad_version,38,2026-08-30T06:23:57.713429,sent+no_response,,
10,mutate_bad_message_type,38,2026-08-30T06:23:58.414683,sent+no_response,,
11,mutate_bit_flip,38,2026-08-30T06:23:59.115987,sent+response,28,
12,mutate_teid_flap,38,2026-08-30T06:23:59.316853,sent+response,28,
13,mutate_length_mismatch,38,2026-08-30T06:23:59.517520,sent+response,28,
14,mutate_bit_flip,38,2026-08-30T06:23:59.717879,sent+response,28,
15,mutate_bad_message_type,38,2026-08-30T06:23:59.918377,sent+no_response,,
16,mutate_bit_flip,38,2026-08-30T06:24:00.619291,sent+response,28,
17,mutate_truncated_header,3,2026-08-30T06:24:00.820293,sent+no_response,,
18,mutate_teid_flap,38,2026-08-30T06:24:01.521351,sent+response,28,
19,mutate_teid_flap,38,2026-08-30T06:24:01.722171,sent+response,28,
20,mutate_bad_message_type,38,2026-08-30T06:24:01.922603,sent+no_response,,
21,mutate_echo_request_storm,8,2026-08-30T06:24:02.623787,sent+response,10,
22,mutate_seq_flag_no_seq,8,2026-08-30T06:24:02.824727,sent+no_response,,
23,mutate_truncated_header,4,2026-08-30T06:24:03.525814,sent+no_response,,
24,mutate_bad_message_type,38,2026-08-30T06:24:04.226992,sent+no_response,,
25,mutate_seq_flag_no_seq,8,2026-08-30T06:24:04.927846,sent+no_response,,
26,mutate_seq_flag_no_seq,8,2026-08-30T06:24:05.628829,sent+no_response,,
27,mutate_truncated_header,5,2026-08-30T06:24:06.330076,sent+no_response,,
28,mutate_truncated_header,1,2026-08-30T06:24:07.031153,sent+no_response,,
