index,mutator,length_bytes
0000,mutate_truncate,2
0001,mutate_bit_flip,16
0002,mutate_null_bytes,16
0003,mutate_length_lie,16
0004,mutate_truncate,5
0005,mutate_oversized_ie,16
0006,mutate_length_lie,16
0007,mutate_null_bytes,16
0008,mutate_oversized_ie,16
0009,mutate_huge_length_field,16
0010,mutate_bit_flip,16
0011,mutate_repeat_ie,22
0012,mutate_bit_flip,16
0013,mutate_null_bytes,16
0014,mutate_truncate,7
0015,mutate_repeat_ie,22
0016,mutate_bit_flip,16
0017,mutate_null_bytes,16
0018,mutate_truncate,10
0019,mutate_bit_flip,16
0020,mutate_oversized_ie,16
0021,mutate_truncate,8
0022,mutate_bit_flip,16
0023,mutate_oversized_ie,16
0024,mutate_bad_ie_id,16
0025,mutate_null_bytes,16
0026,mutate_bit_flip,16
0027,mutate_repeat_ie,22
0028,mutate_null_bytes,16
0029,mutate_bit_flip,16
0030,mutate_oversized_ie,16
0031,mutate_huge_length_field,16
0032,mutate_null_bytes,16
0033,mutate_huge_length_field,16
0034,mutate_bad_ie_id,16
0035,mutate_bad_ie_id,16
0036,mutate_bit_flip,16
0037,mutate_bad_ie_id,16
0038,mutate_null_bytes,16
0039,mutate_truncate,8
0040,mutate_null_bytes,16
0041,mutate_huge_length_field,16
0042,mutate_bit_flip,16
0043,mutate_repeat_ie,22
0044,mutate_truncate,6
0045,mutate_null_bytes,16
0046,mutate_bad_ie_id,16
0047,mutate_length_lie,16
0048,mutate_bad_ie_id,16
0049,mutate_bit_flip,16
0050,mutate_repeat_ie,22
0051,mutate_huge_length_field,16
0052,mutate_length_lie,16
0053,mutate_repeat_ie,22
0054,mutate_bit_flip,16
0055,mutate_huge_length_field,16
0056,mutate_truncate,14
0057,mutate_bad_ie_id,16
0058,mutate_huge_length_field,16
0059,mutate_bad_ie_id,16
0060,mutate_null_bytes,16
0061,mutate_oversized_ie,16
0062,mutate_oversized_ie,16
0063,mutate_bit_flip,16
0064,mutate_length_lie,16
0065,mutate_oversized_ie,16
0066,mutate_length_lie,16
0067,mutate_length_lie,16
0068,mutate_truncate,2
0069,mutate_repeat_ie,22
0070,mutate_truncate,10
0071,mutate_oversized_ie,16
0072,mutate_bit_flip,16
0073,mutate_truncate,12
